"","BitcoinLMean","BitcoinAMean","",""
"1",609.914857142857,0,0,609.11
"1",610.086071428571,0,0,610.19
"1",610.339642857143,0,0,608.66
"1",608.077857142858,0,0,598.88
"1",610.061071428572,0,0,597.42
"1",610.560714285715,0,0,594.08
"1",612.0475,0,0,598.98
"1",608.347142857143,0,0,605.96
"1",598.365357142858,0,0,605.67
"1",594.931428571429,0,0,603.85
"1",594.592857142857,0,0,609.39
"1",600.791428571429,0,0,611.85
"1",605.137857142857,0,0,609.62
"1",603.940714285714,0,0,607.18
"1",605.331428571429,0,0,612.08
"1",611.046071428572,617.168917830676,0,617.21
"1",611.135714285715,616.343836947792,0,617.54
"1",607.454642857143,613.951325448616,0,614.77
"1",609.443571428572,636.874887259489,0,635.01
"1",613.446428571429,631.828531901951,0,635.96
"1",614.565357142858,633.789373493299,0,634.02
"1",614.548571428572,639.406135924362,0,638.97
"1",618.238571428572,635.619046968427,0,636.29
"1",633.995357142857,630.00794738054,0,629.25
"1",635.125357142858,629.32388754459,0,627.72
"1",636.7425,632.33310511291,0,631.92
"1",641.801785714286,651.893413425051,0,651.39
"1",635.071428571429,651.332494596954,0,655.31
"1",625.181785714286,649.934443570891,0,651.45
"1",628.425357142858,683.280483713981,0,682.22
"1",635.973214285715,685.083899683908,0,687.68
"1",649.78,704.330769741509,0,702
"1",648.910357142857,698.688630483464,0,697.01
"1",658.010357142858,730.898553574875,0,733.33
"1",676.809285714286,717.434988269618,0,686.17
"1",685.495714285714,677.21051584002,0,683.69
"1",705.472142857143,701.930277369046,0,709.96
"1",710.481071428572,705.908729841639,0,708.97
"1",722.791428571429,717.571193177859,0,720.93
"1",682.176785714286,720.656715573541,0,721.5
"1",686.165714285715,717.108843930107,0,715.45
"1",707.03,709.226193028008,0,706.46
"1",712.365357142858,710.273991209705,0,710.91
"1",723.268214285715,711.222587433476,0,711.73
"1",723.771428571429,730.203094580695,0,736.96
"1",714.223214285714,744.210556949994,0,747.52
"1",702.57,740.242035430635,0,738.53
"1",705.776428571429,738.077814265031,0,736.97
"1",716.510357142857,740.478979685634,0,741.63
"1",739.905,737.976023086837,0,737.45
"1",745.277857142857,737.151425680086,0,735.64
"1",737.290357142858,731.247747227459,0,727.31
"1",739.236428571429,735.052062518273,0,732.71
"1",743.401428571428,741.235594587068,0,742.69
"1",737.476785714286,741.770142872691,0,742.05
"1",735.210357142857,774.966769458461,0,772.43
"1",725.032857142857,757.223598287267,0,754.63
"1",730.456785714286,756.454323951908,0,756.62
"1",741.0325,758.65664950567,0,758.99
"1",750.883214285714,768.334831773062,0,769.72
"1",768.660714285715,770.241412580879,0,770.02
"1",753.861785714286,776.119857122,0,777
"1",755.573571428571,777.993047344895,0,777.99
"1",759.533928571429,775.477301147711,0,774.89
"1",768.834285714286,775.968445849545,0,776.75
"1",771.474642857143,776.269505948731,0,775.88
"1",778.724285714286,784.885159466598,0,788.67
"1",777.768571428572,793.708631619106,0,793.09
"1",776.853571428572,823.084593352229,0,824.21
"1",775.288928571429,847.515841701886,0,834.97
"1",780.194642857143,915.943209648674,0,901.31
"1",786.586785714287,983.408661958701,0,930.34
"1",791.172857142858,987.496089621597,0,963.38
"1",811.303928571429,969.261318295034,0,952.15
"1",844.513928571429,1004.00239850307,0,1013.42
"1",915.521785714287,1210.30881269359,0,1126.76
"1",914.93892857143,1009.43477668508,0,994.67
"1",936.963928571429,1011.60601128174,0,999.65
"1",956.216785714285,921.192428132265,0,910.49
"1",1051.34214285714,889.007950669584,0,906.05
"1",1102.25214285714,790.257410854102,0,785.22
"1",1008.47,737.521001269349,0,780.92
"1",1006.48535714286,822.873010910353,0,826.29
"1",928.023928571429,839.69723811054,0,830.5
"1",886.463928571429,901.654791103576,0,903.84
"1",777.665,924.596608936779,0,906.6
"1",776.785950892857,896.854186216314,0,895.798875
"1",815.937022767858,891.37328799552,0,893.6210875
"1",847.793645535715,920.280561304545,0,922.0736125
"1",905.961600446429,925.556462255642,0,919.97
"1",898.032939285715,895.052901263045,0,893.045625
"1",894.100563839286,909.4015020979,0,915.95625
"1",902.751652678572,918.086962778981,0,915.05
"1",921.964931696429,912.260255451445,0,912.19
"1",917.645316071429,950.367856794392,0,964.706075
"1",899.281750892858,1005.33656806232,0,979.703875
"1",909.098850892858,986.812679889888,0,983.42
"1",908.066625000001,1015.55017024898,0,1013.027
"1",920.071604464287,1018.00516677815,0,1024.01375
"1",965.419833928571,1051.54888746316,0,1050.11
"1",974.860861607144,1058.34939423636,0,1052.84
"1",975.187571428572,969.267656323046,0,976.103
"1",1013.33522321429,1020.04748424794,0,999.1035
"1",1039.32913839286,995.615803440004,0,999.877375
"1",1058.41585267857,1000.97427641999,0,1001.2
"1",1036.93269514286,1011.11896144971,0,1012.325988
"1",982.362389678572,1032.33694612501,0,1035.208125
"1",997.462448142858,1032.80947819249,0,1035.2
"1",996.934183035715,1049.95332335729,0,1050.87
"1",1007.73175639286,1125.18882083666,0,1123.788429
"1",1014.11411164286,1121.59086172564,0,1123.223188
"1",1023.27834267857,1130.33292619367,0,1130.01
"1",1032.46807135714,1177.86892254385,0,1174.86625
"1",1064.70439146429,1193.69630583568,0,1190.75195
"1",1115.96848453572,1187.38781611853,0,1187.565286
"1",1116.11391664286,1191.17443861269,0,1190.89
"1",1143.54741275,1264.61910845942,0,1259.410817
"1",1180.43995889286,1283.27461392981,0,1285.14
"1",1178.85397432143,1271.4795860829,0,1275.197375
"1",1175.15569475,1279.92991120373,0,1279.5
"1",1187.78777689286,1146.39169287138,0,1157.3933
"1",1268.56915428572,1179.113020899,0,1192.469143
"1",1300.15306235714,1193.81536961725,0,1192.09
"1",1292.21189475,1226.81267952068,0,1227.68
"1",1254.63400207143,1248.3399330617,0,1245.370786
"1",1159.91552514286,1258.99857525544,0,1257.399625
"1",1184.74708107143,1258.01095257163,0,1257
"1",1176.43239871429,1091.88222197962,0,1091.171888
"1",1224.66838835714,1039.71870734232,0,1049.084488
"1",1278.716922,1131.59041852563,0,1118.630043
"1",1286.4272605,1099.73681169795,0,1113
"1",1215.514065,1036.69274113549,0,1038.789
"1",1064.14664138929,946.040587598094,0,941.9197143
"1",1083.12093636071,1071.87221601288,0,1037.22925
"1",1142.47301363571,1012.44471805603,0,1041.04
"1",1099.92108928571,1039.54255153425,0,1040.5755
"1",1007.04469923929,1038.10503390468,0,1037.90455
"1",958.122179603572,1035.53513601132,0,1034.74
"1",1043.20587678572,1079.90860025043,0,1079.99
"1",1048.39180675,1128.18411017771,0,1141.600363
"1",1033.17336796429,1109.52071669626,0,1133.079314
"1",1022.12197342857,1136.7398177734,0,1133.53
"1",1041.33519621429,1196.53674475181,0,1190.45425
"1",1093.9973265,1187.84158420689,0,1207.744875
"1",1133.90434514286,1222.65978095844,0,1226.617038
"1",1121.75120028571,1208.42102583657,0,1219.09
"1",1134.34325846429,1178.96198653125,0,1180.023713
"1",1191.59394592857,1190.09171171331,0,1176.97
"1",1222.15967425,1222.31397319448,0,1217.930088
"1",1233.83537803571,1232.23282136316,0,1241.686325
"1",1206.15693178571,1227.21393325408,0,1236.63
"1",1170.68428925,1240.90233113863,0,1240.84
"1",1185.74588771429,1295.11018150597,0,1279.414688
"1",1225.47480392857,1310.19435215108,0,1309.109875
"1",1232.41168207143,1267.73580518568,0,1288.02
"1",1232.26549239286,1349.48088448109,0,1331.294429
"1",1259.43992032143,1504.89661171281,0,1452.076288
"1",1281.06321853572,1389.58331173335,0,1447.55
"1",1288.41529814286,1519.74882118395,0,1508.292125
"1",1281.82281067857,1541.75117327871,0,1533.335071
"1",1356.32651503571,1673.53777263779,0,1640.619225
"1",1440.13595232143,1679.58061325346,0,1651.1
"1",1451.47003482143,1785.40762740951,0,1762.88625
"1",1502.16598046429,1881.05460787771,0,1820.990563
"1",1535.88439175,1851.15002873197,0,1829
"1",1612.97071153571,1771.28006320947,0,1780
"1",1657.22757767857,1714.54793027841,0,1739.031975
"1",1786.45207432143,1811.90631192309,0,1807.485063
"1",1832.754995,1799.37817386716,0,1783.98
"1",1835.34575757143,1960.92922795884,0,1961.520488
"1",1780.09975892857,2190.18319210452,0,2090.662313
"1",1750.36296303572,2413.10827024971,0,2287.710288
"1",1756.11272617857,2333.73708262511,0,2256.32
"1",1783.10864635714,2388.84611843711,0,2387.206286
"1",1942.14156264286,2294.35712230958,0,2211.976857
"1",2119.99750271429,2178.61397093599,0,2290.02
"1",2288.00181921429,2325.43995991283,0,2285.933914
"1",2305.71653017857,2399.1548089166,0,2399.242671
"1",2346.49509364286,2470.58270686785,0,2409.93
"1",2223.12417953572,2537.60433266967,0,2529.53
"1",2309.48201132143,3006.53649385363,0,2883.313697
"1",2264.15591282143,2826.88271735795,0,2664.920863
"1",2335.46514485714,2630.19683700261,0,2683.03
"1",2427.42358742857,2816.56618905865,0,2827.4913
"1",2603.12302007143,2699.90303048464,0,2657.675063
"1",2830.78813096429,2708.9280656428,0,2748.185086
"1",2667.25694067857,2725.77889369147,0,2706
"1",2691.92186092857,2479.82360937152,0,2442.48025
"1",2792.67193425,2443.76977961834,0,2464.959814
"1",2733.82223464286,2575.9902527308,0,2617.210263
"1",2773.24239046429,2581.16078391136,0,2600
"1",2641.59324814286,2651.55852325594,0,2671.04325
"1",2433.22922732143,2696.03858275238,0,2727.288013
"1",2482.9775375,2705.3594316653,0,2713.48
"1",2573.29764275,2552.30653248105,0,2502.03
"1",2608.32459257143,2568.86068795497,0,2517.903114
"1",2720.49303867857,2566.51906465962,0,2585.349186
"1",2749.86372446429,2543.47314142104,0,2558.3
"1",2655.17633503572,2519.6718773437,0,2477.641375
"1",2508.04893528571,2557.66505480965,0,2561.225429
"1",2549.45935796429,2549.55880007083,0,2599.729838
"1",2580.01107314286,2584.55205375406,0,2598.89
"1",2527.64236689286,2608.00024216252,0,2609.96775
"1",2474.46145992857,2495.59974908907,0,2491.201214
"1",2553.24247128572,2414.98642347791,0,2366.170143
"1",2610.77682103572,2385.19724918324,0,2327.09
"1",2641.98124610714,2414.5442417403,0,2385.748571
"1",2608.88620407143,2334.13789922128,0,2354.783417
"1",2464.3315955,2344.93450569089,0,2338.49
"1",2309.42855789286,1824.96085348132,0,1910.96
"1",2388.15478175,2208.53232142806,0,2320.12225
"1",2437.69136557143,2180.80799717294,0,2264.7657
"1",2354.54544610714,2275.35689765979,0,2265.21
"1",2256.27868889286,2461.79100003401,0,2682.195363
"1",1999.32918742857,2678.10807661512,0,2751.821029
"1",2230.15900935715,2607.65853960009,0,2560.997917
"1",2195.68297260714,2603.13117192272,0,2564.3
"1",2365.91327139286,2620.79718119146,0,2647.625
"1",2735.77561996429,2726.53135580607,0,2781.636583
"1",2714.45536328572,2820.49791665875,0,2866.431667
"1",2530.1610985,2849.06663098892,0,2862.9
"1",2529.78572432143,2736.51853630983,0,2693.633983
"1",2670.71269460714,2802.0739853306,0,2794.117717
"1",2821.02276175,2768.52583753796,0,2790
"1",2920.64848117857,3086.21332275392,0,3210.2
"1",2845.39031592857,3390.86405668208,0,3457.374333
"1",2641.4177505,3339.9447223903,0,3357.326317
"1",2696.21682885714,3358.2434254022,0,3340.28
"1",2875.32766903572,3601.43370864565,0,3632.506667
"1",3340.76089271429,4477.38207944098,0,4282.992
"1",3393.12960110714,3937.0817596474,0,4217.028329
"1",3215.63865371429,4187.19510081885,0,4179.97
"1",3324.89835135714,4388.62315755631,0,4328.725717
"1",3742.13729967857,4055.69514450506,0,4130.440067
"1",4245.96478185714,4058.51039925723,0,4043.722
"1",4211.33197496429,3984.97918190535,0,3986.28
"1",4267.46298046429,4234.18543154117,0,4174.95
"1",4331.62972303572,4349.47265058709,0,4340.316717
"1",4095.29212107143,4297.64936129524,0,4331.77
"1",4012.48233864286,4676.41154300628,0,4607.98545
"1",3996.17561428572,4556.4692658915,0,4594.98785
"1",4164.90553939286,4581.06679033472,0,4582.52
"1",4336.46154078571,5001.22197322197,0,4911.740017
"1",4323.91335535715,4267.71728734751,0,4344.098317
"1",4575.90933575,4490.26403553635,0,4488.72014
"1",4615.71095935715,4399.08166355295,4409.00710874591,4385.02
"1",4730.63053903572,4612.8511507412,4631.83137769949,4654.6585
"1",4767.68215332143,4399.60013323772,4386.69212930971,4310.750183
"1",4339.50457332143,4301.92936317688,4282.2975188961,4248.090017
"1",4475.50865846429,4216.34627824724,4224.76472337366,4198.59
"1",4465.82393689286,4045.36576697098,4015.80124571527,3961.271267
"1",4540.52190521429,3363.34780172971,3387.77207352921,3319.63
"1",4329.47783192857,3045.24485900409,3196.380991962,3216.43
"1",4414.32715682143,3617.65919339544,3632.40471725108,3678.53
"1",4290.99790721429,3916.15153793189,3939.52519194201,3943.413333
"1",3799.07979082143,3974.09903770577,3998.03917630292,3977.561667
"1",3188.44505953572,3898.04367844393,3921.04827555308,3894.48
"1",3228.69574935714,3652.29982869135,3673.45492768225,3637.50255
"1",3765.50526239286,3934.78211801915,3930.26393623613,3942.555
"1",3994.63602182143,3892.37526005652,3931.23457664854,3910.307383
"1",3952.71772114286,3885.94958617694,3904.12960136328,3881
"1",3844.01073457143,4175.77575364011,4183.36257115078,4201.98905
"1",3699.86823217858,4149.79061867691,4213.75817916626,4193.574667
"1",3915.83937485714,4408.77773410681,4388.77747122363,4386.88375
"1",3861.19035325,4360.79803189716,4415.09517049355,4394.07
"1",3893.81005178571,4191.38992593624,4262.08616843922,4225.175
"1",4184.02396975,4414.07429215059,4344.19030873611,4338.852
"1",4249.02339610714,4283.52455496514,4339.52696014994,4318.58
"1",4426.81386607143,4674.44012460083,4598.39060475604,4605.66
"1",4369.49017857143,4710.22570881516,4788.20866053185,4782.28
"1",4211.34536789286,4760.06778404327,4839.08713544756,4819.485767
"1",4269.27673925,4821.79527818393,4843.97864641147,4822.17
"1",4418.75880832143,5666.54274044268,5521.11202809063,5563.806567
"1",4647.29349642858,5769.79676627901,5733.98241705205,5711.205867
"1",4671.07524478572,5595.93516565435,5648.78703985546,5603.71294
"1",4691.99001260715,5595.93154182263,5620.8250072472,5594.66
"1",4963.15135153572,5730.9523540941,5739.79925479544,5727.6335
"1",5633.75867371429,6012.19217601936,5986.37614464813,5979.45984
"1",5663.23133864286,5853.43230495193,5913.51489527504,5876.079867
"1",5549.75102353572,5905.49536904536,5925.74524408648,5900.59
"1",5572.45212967857,5639.62168416049,5712.77257370329,5669.622533
"1",5807.81773971429,5922.61916474756,5896.83630112987,5893.138417
"1",5990.13749071429,5880.22790831541,5914.56676825062,5889.82
"1",5907.95011689286,6152.95464587141,6135.75587431091,6136.49
"1",5854.9056535,6430.11069138819,6393.1621011472,6388.645167
"1",5704.41387714286,6738.72597080833,6672.66795313045,6665.306683
"1",5830.57153121429,6784.33344387756,6784.65570983313,6751.98
"1",5906.08083742858,7316.1015739598,7210.7557348389,7197.72006
"1",6107.25754728572,7043.73107573899,7051.03848243658,6989.071667
"1",6373.03162307143,7061.71684074003,7117.67983928745,7092.127233
"1",6650.82590507143,7157.35636756701,7156.68116424424,7128.64
"1",6849.81081385715,7172.13998345639,7184.93014119059,7158.03706
"1",7093.52602689286,6735.82644828366,6790.49418897142,6719.39785
"1",6979.93336596429,6374.72124363588,6578.01223543332,6550.227533
"1",7151.04651285715,6432.93418061238,6510.34857494489,6493.63
"1",7307.26939885715,7326.75645986455,7257.80699283794,7301.42992
"1",7166.98983464286,8074.18370677519,7856.5424644869,7815.0307
"1",6587.63202025,7906.66026898279,7927.76423089756,7868.77
"1",6370.73680210715,8100.31763097088,8090.00346242035,8049.72
"1",6557.91140285714,8073.76038803465,8099.23143875102,8059.8
"1",7381.92819500001,8331.71149050007,8300.0670223449,8268.035
"1",7793.98182500001,8235.47519309877,8284.65474746394,8236.72
"1",7871.42232139286,8253.80174603475,8288.2860876694,8250.978333
"1",8183.45821967858,10152.1096516337,9706.67705268139,9718.29505
"1",8124.51582064286,10019.7501335954,10063.6453688471,9952.50882
"1",8047.19922642857,9898.92254325612,9991.17985956902,9919
"1",8020.65877560714,10195.3633394569,10195.0784839911,10147.372
"1",8563.24203960715,11074.7149693642,10932.7325669209,10883.912
"1",9807.3796975,11794.2864865963,11711.3148965739,11584.83
"1",9809.36517357143,11524.2545588948,11713.3673199258,11591.22
"1",9963.33242857143,13991.9158413339,13843.1682672892,13540.98
"1",10495.1021075,18759.0148929976,17964.2672927596,16501.97167
"1",10768.0803925,16422.5798547684,18068.8116640742,16860.88
"1",10692.4426185714,13688.161834739,14719.0185052793,15068.95
"1",11701.6317853571,18252.9025875896,17648.3718364314,17276.39333
"1",14224.3001803571,16588.6938181934,17421.8586731815,16808.36667
"1",16447.1258957143,16243.221357113,16341.9463439454,16252.31
"1",16455.2176185714,17964.0473536109,17805.1460990334,17771.9
"1",15736.929285,18880.88213023,19167.5554859046,18961.85667
"1",16923.9468435714,17372.2885946608,18228.5640249839,17737.11167
"1",16284.0457757143,17606.908770796,17461.6943862784,17382.94
"1",16385.5533328572,15961.9641407274,16119.4636664827,16047.51
"1",18118.1769653572,15273.5256278344,15142.4490734419,15190.945
"1",19027.2070875,15780.9414825018,15537.9467295013,15589.32167
"1",17857.5010146429,14202.8463225591,14425.3339098648,14380.58167
"1",17192.0788682143,14351.5918198381,14183.6997729715,14214.01
"1",16095.1588689286,15109.1984960892,15009.6897954383,15005.85667
"1",15463.6358939286,14934.7105228318,15136.4306159383,15053.26167
"1",15282.6479196429,15027.7851629834,15127.4295127442,15039.24
"1",14459.6807760714,17276.2410407333,17234.3655946545,17174.12
"1",14146.1907157143,15152.8357899867,15573.8473653602,15265.90667
"1",14652.2363721429,15389.2549113841,14805.6691130452,14714.25333
"1",14988.7161335714,14624.9150746729,14474.3741807112,14437.42
"1",15649.6681671429,13503.3440298139,13363.6095601808,13296.794
"1",17017.7322867857,13981.6154004609,13868.8718789558,13912.882
"1",15380.5321207143,13940.3789242508,14054.5777997294,14012.196
"1",14690.6753782143,13590.7472397322,13636.6795086609,13554.14
"1",13870.4086432143,11422.5194702786,11258.6024377657,11116.94667
"1",13482.5382135714,11260.2197488753,11274.5913973238,11345.42333
"1",14325.9447617857,11180.8586638814,11144.0040193438,11174.82
"1",14282.20981,11481.1211425447,11534.7063474758,11513.42
"1",13079.5497153572,11263.3120532417,11294.707812336,11223.064
"1",11140.0887989286,11299.1042636483,11324.5069479472,11282.25833
"1",11319.8277,11367.8164778059,11447.0528559499,11392.03
"1",11223.07006,11038.9894829249,11044.7039766077,10969.815
"1",11463.4512857143,11188.4568771697,11242.596890903,11212.655
"1",11168.0627492857,10373.9264348719,10302.0551039865,10184.06167
"1",11316.6059492857,10142.136232074,10077.269639438,10082.52
"1",11321.8211899643,9289.10808004761,9114.23015803312,9083.258333
"1",11155.1960715,8681.02681726496,8882.67426037745,8901.901667
"1",10965.1904177857,6694.71329036553,6866.764048201,6838.816667
"1",10343.8722050357,6323.17998934886,6664.86260059843,6925.46
"1",10350.5540474286,8098.51702433759,8037.4940494344,8099.958333
"1",9348.283988,8325.48449382988,8308.99010156759,8240.536667
"1",8353.81732182143,8256.45200552577,8330.03859566317,8245.08
"1",6647.44988117858,8058.81369147049,8124.91416061234,8068.02
"1",7171.21883917858,8543.00908627377,8608.59324122554,8597.7675
"1",8228.65675575001,9437.14734549691,9379.74923369937,9334.633333
"1",8205.64333364286,9560.38127529479,9557.22653638006,9471.64
"1",8102.75184564286,10195.2958048441,10205.1194058453,10127.16167
"1",8143.18633892858,11347.9373585798,11214.5980617903,11110.965
"1",8646.07092239286,11581.2434887443,11520.2657810831,11390.39167
"1",9109.43684460715,11260.9313403509,11343.8341600034,11245.98
"1",9267.35297682143,9691.26703012045,10014.9277407104,9931.071667
"1",10308.3078006786,10130.92858896,10115.6077753217,10162.11667
"1",11389.3176193571,10387.2982649699,10355.9100940221,10348.60333
"1",11516.3189907143,10300.114347394,10385.1400600437,10319.46
"1",10956.9602386786,10382.3632093051,10426.6876876724,10370.165
"1",10018.3395850357,11138.2387164016,11042.5096364062,11009.38167
"1",10183.9524417857,10612.8152891728,11010.5456412065,10931.12
"1",10307.5935682143,11657.5011922786,11573.2564692023,11516.83
"1",10167.6317853572,10647.636739402,10886.1246376618,10763.19833
"1",10342.6960371429,10003.2720012928,10153.0225680881,10118.058
"1",10998.2239675,9892.55609106749,9926.45932759842,9920.46
"1",11146.48046425,8883.3796621355,9124.56377436967,9089.278333
"1",11512.6689275,9132.07732204128,9175.20661274618,9182.843333
"1",10791.9478663929,9157.52611865243,9173.4612762797,9154.7
"1",10188.0221667143,9152.99775901371,9189.0889265129,9153.54
"1",9677.46535707143,8219.93449820584,8409.11620262292,8358.121667
"1",9128.63116625,8544.38405012876,8514.47514089435,8530.402
"1",9278.93228535714,8420.049719869,8443.99604077832,8412.033333
"1",9264.25614289286,8585.79415522483,8632.95944607658,8605.64
"1",9040.45434535715,8960.17773304229,8997.65894142363,8947.753333
"1",8350.56504789286,8765.34793991174,8762.72500590909,8690.408333
"1",8436.47920235714,8668.56331854324,8767.45690796442,8725.37
"1",8405.84511882143,8467.83612816824,8506.8703846846,8457.96
"1",8636.16874989286,7785.12106854778,7902.87764247037,7876.195
"1",8944.02559485714,7817.19411687519,7969.21782436022,7960.38
"1",8816.91541639286,7962.16643632709,7984.96232047946,7950.61
"1",8690.82517857143,7396.94808831528,7439.11247976671,7410.435
"1",8345.16178571429,7267.1857611864,7432.71628332058,7426.48
"1",7905.50910714286,6810.56670774781,6854.4495935987,6826.51
"1",8009.65750003572,6469.55489581698,6594.60146611489,6603.876667
"1",7947.78910707143,6661.01162730701,6695.48881421535,6699.273333
"1",7539.93672617858,6797.08516301358,6806.88221503466,6784.41
"1",7352.71809532143,6938.72893649488,6968.39828636757,6926.266667
"1",6859.70410721429,7933.45335446638,7900.2394109353,7847.845
"1",6598.51434535715,8147.68778408141,8045.38696412559,7941.46
"1",6608.26845210715,8444.50978867519,8442.84722258711,8368.1
"1",6614.06931360715,7977.01775607832,7985.76173770641,7895.416926
"1",7045.38928003572,8029.26560077039,8197.28415961087,8164.937426
"1",7872.32053635715,8256.89363760306,8223.87925905162,8175.96
"1",8119.17876053572,8879.28195293174,8896.43143755816,8852.718333
"1",8252.30865485715,9162.22345276181,9001.81407620138,8933.861667
"1",7911.89977853572,9637.83632739508,9621.73831552552,9555.542
"1",8069.62350464287,9959.15914015338,9739.41168679701,9658.11
"1",8153.58007128572,9280.83264844478,9315.3511153838,9258.398333
"1",8737.16434510715,8841.52634821686,9039.31656236314,9010.32
"1",9114.03046460715,9186.86344140095,9293.33555855387,9259.57
"1",9664.25414285715,9302.29795883988,9272.90145312742,9239.55
"1",9584.62367846429,9214.97381383439,9263.3330638839,9221.426
"1",9226.1203092143,9642.90295535812,9674.64963814841,9639.268333
"1",9072.50110717858,9877.26029306691,9818.62564514305,9753.35
"1",9142.67005953572,9238.3514079771,9296.35693320362,9228.608333
"1",9170.33514292858,9201.34875783549,9340.84248437083,9322.041667
"1",9353.45588085715,9329.49844506351,9348.85141269778,9310.37
"1",9631.08603539286,8536.02184658675,8511.43377801459,8468.788
"1",9667.599857,8605.92049217459,8645.24336219118,8652.038333
"1",9352.12405939286,8525.98925563296,8540.86714588259,8511.458
"1",9409.67646460715,8469.10490584165,8500.8073880529,8471.06
"1",9114.89089282143,8115.41253382634,8137.84060750717,8106.118333
"1",8541.71567850001,8247.79453080222,8257.09647480817,8240.055
"1",8700.42978171429,8330.02798914666,8406.95797824246,8385.556187
"1",8538.43126567857,8348.17339603472,8434.18465717694,8396.63
"1",8275.87679460715,7706.79043057641,7610.31736538026,7555.74
"1",8108.78773778572,7788.61798074494,7562.79340314163,7566.193333
"1",8385.71681014286,7573.38692685073,7588.46555940646,7576.78
"1",8493.64210607143,7474.87627445446,7490.05171054032,7459.876667
"1",8235.48517853572,7413.53193923831,7424.56452235222,7385.395
"1",7572.93672603572,7398.53273455272,7426.97780562348,7386.72
"1",7611.32738071429,7512.96846409547,7561.78929615691,7535.146667
"1",7562.61892860715,7494.3953418092,7539.54597664756,7500.273333
"1",7437.55278928572,7601.19722674179,7646.88241598394,7615.722142
"1",7369.80697292857,7611.04928538043,7651.75874268739,7619.43
"1",7407.80415842857,7669.60950487405,7705.50052320218,7676.271667
"1",7505.88422628572,7629.68073235931,7669.98994663981,7620.153333
"1",7432.47408103572,6898.09154445245,6917.2305936004,6875.678333
"1",7616.67003339286,6994.53432515164,6879.86504905639,6879.31
"1",7683.56398825,6315.0760635062,6326.17184543309,6315.7
"1",7807.58315489286,6533.24293585036,6630.75132066028,6647.013333
"1",7566.17934489286,6683.9237858445,6683.41225910487,6637.41
"1",6888.98136882143,6460.83351083125,6472.87070672324,6445.79
"1",6763.90785714286,6661.88053111996,6745.02953510913,6737
"1",6401.22196414286,6784.66078470443,6751.68423611929,6714.718333
"1",6636.011845,6749.31216417918,6802.23672006872,6760.83
"1",6518.88916667858,6405.5975766004,6355.02951232738,6332.573333
"1",6481.40973217858,6111.64661892592,6226.97707205859,6211.4475
"1",6788.37907732143,6190.82095833387,6234.31394440868,6218.595
"1",6788.45702353572,6111.52343063927,6114.5907442662,6097.46
"1",6701.75637353572,6077.45893262212,6126.78848592093,6107.896154
"1",6305.88547132143,5931.52280439065,5920.0759494274,5908.7025
"1",6288.25581732143,6324.25041693735,6471.83006409647,6466.069167
"1",6241.11169639286,6730.87691667635,6691.89271633953,6626.44
"1",6044.60415067858,6623.50877756199,6638.13677596864,6593.289167
"1",5970.87273364286,6593.65163274006,6637.95475215724,6603.376667
