"","GoldLMean","GoldAMean","",""
"1",1325.17857142857,0,0,1308.35
"1",1326.9625,0,0,1314.85
"1",1325.1125,0,0,1313.8
"1",1320.53392857143,0,0,1326.1
"1",1310.97678571429,0,0,1339.1
"1",1307.85535714286,0,0,1338.65
"1",1311.24642857143,0,0,1340.5
"1",1312.75714285714,0,0,1327
"1",1327.73928571429,0,0,1322.5
"1",1340.2125,0,0,1318.1
"1",1342.02321428572,0,0,1322.5
"1",1338.375,0,0,1313.3
"1",1322.98214285714,0,0,1283.3
"1",1320.91071428571,0,0,1269.4
"1",1322.88928571429,0,0,1254.5
"1",1327.58392857143,1260.64562682234,0,1258.75
"1",1312.1375,1259.87191374281,0,1259.5
"1",1281.69107142857,1250.76822012368,0,1253.45
"1",1266.35178571429,1257.81694108177,0,1256.5
"1",1256.50357142857,1263.05329023465,0,1261.05
"1",1258.31607142857,1247.93015137877,0,1251.75
"1",1257.66071428572,1256.0298354853,0,1254.8
"1",1255.0375,1259.71057352627,0,1258.2
"1",1259.36785714286,1273.43161630062,0,1269.05
"1",1258.74642857143,1273.0207574896,0,1271.65
"1",1249.65892857143,1263.73572133215,0,1266.05
"1",1253.43214285714,1265.43054580829,0,1265.55
"1",1260.97857142857,1271.1148251235,0,1269.4
"1",1270.50357142857,1270.81860502049,0,1270.5
"1",1269.71607142857,1264.13433585622,0,1266.25
"1",1265.97678571429,1275.14894009222,0,1273
"1",1266.58035714286,1272.73935012873,0,1272
"1",1271.00178571429,1289.97566313621,0,1288.45
"1",1270.55892857143,1304.52807787155,0,1303.75
"1",1264.95357142857,1297.98221788792,0,1301
"1",1268.47857142857,1303.24558968382,0,1302.8
"1",1271.02857142857,1280.88224877316,0,1283.05
"1",1291.24285714286,1281.74616268699,0,1282.35
"1",1305.72142857143,1281.28013714847,0,1281.4
"1",1302.75357142857,1265.56043092035,0,1267.5
"1",1296.18214285714,1222.82330907165,0,1236.45
"1",1282.59821428572,1200.05067458338,0,1213.6
"1",1290.03214285714,1238.91024419367,0,1226.95
"1",1286.85892857143,1228.35603076151,0,1229.2
"1",1263.05,1225.49605723826,0,1226.75
"1",1228.45357142857,1205.06265515855,0,1211
"1",1216.36071428571,1217.51759764846,0,1214.25
"1",1229.7375,1211.25073202729,0,1212.25
"1",1227.66607142857,1175.78238709225,0,1185.35
"1",1223.83928571429,1189.7462065652,0,1186.1
"1",1215.88035714286,1188.08553716217,0,1187.7
"1",1217.55357142857,1186.54260228646,0,1187
"1",1207.0625,1186.51185745519,0,1186.55
"1",1184.45,1175.70681538264,0,1178.1
"1",1184.80892857143,1157.84811143797,0,1161.85
"1",1190.09464285714,1180.72532809034,0,1173.5
"1",1189.2375,1158.29870048697,0,1162.2
"1",1186.80178571429,1174.96812906323,0,1172.5
"1",1175.7,1177.82099394203,0,1177.65
"1",1163.36607142857,1169.68619918459,0,1171.05
"1",1168.47678571429,1166.30407002028,0,1163.6
"1",1163.44285714286,1156.99945307967,0,1156.1
"1",1175.68928571429,1158.6001313526,0,1158.55
"1",1179.00357142857,1161.82433279043,0,1162.25
"1",1166.65892857143,1133.54408330207,0,1126.95
"1",1161.88035714286,1134.39304561677,0,1131.6
"1",1161.55,1134.92830799629,0,1136.25
"1",1162.45892857143,1127.67989122592,0,1125.7
"1",1155.46964285714,1132.92855401305,0,1133.65
"1",1128.37678571429,1130.93937215059,0,1131.35
"1",1132.80178571429,1131.65012261228,0,1131.35
"1",1133.90714285714,1133.68851246768,0,1134.6
"1",1128.65892857143,1141.98520953784,0,1145.9
"1",1132.775,1144.45069257131,0,1145.9
"1",1129.81785714286,1149.60625953591,0,1151
"1",1131.73571428572,1160.82958017896,0,1164.25
"1",1137.22321428572,1174.87205019335,0,1176.7
"1",1143.1875,1174.98580120653,0,1175.85
"1",1143.42321428572,1178.44000417109,0,1178.5
"1",1152.8875,1188.78496513797,0,1189.5
"1",1165.04285714286,1179.08496640037,0,1178.55
"1",1177.4375,1198.70765502492,0,1205.05
"1",1174.74107142857,1200.15860668732,0,1190.35
"1",1179.59821428571,1194.81965376536,0,1203
"1",1187.25714285714,1216.63923109027,0,1216.05
"1",1183.43571428572,1218.68477518535,0,1214.75
"1",1196.75,1200.50896018962,0,1196.05
"1",1191.4125,1197.02267715789,0,1200.55
"1",1209.50535714286,1210.26990924851,0,1212.85
"1",1218.26964285714,1216.62706237988,0,1216.8
"1",1206.675,1199.92391900399,0,1195
"1",1193.96428571429,1192.22800602895,0,1189.7
"1",1204.77678571429,1185.84798064879,0,1184.85
"1",1218.27857142857,1191.60320637643,0,1192.8
"1",1216.5,1208.1350582197,0,1212.8
"1",1192.63035714286,1203.08892917419,0,1203.65
"1",1186.80178571429,1216.95060373157,0,1221.95
"1",1183.99642857143,1216.22065833888,0,1215.2
"1",1196.30178571429,1222.91328857018,0,1226.75
"1",1209.97142857143,1228.92890360565,0,1231
"1",1207.42142857143,1239.37354357541,0,1242.1
"1",1217.91964285714,1235.92617091936,0,1236.8
"1",1214.15892857143,1229.30561174483,0,1228.3
"1",1226.03214285714,1223.59251416282,0,1222.25
"1",1235.86428571429,1230.03764000908,0,1230.75
"1",1242.55178571429,1225.26365187306,0,1224.4
"1",1236.6625,1237.4723797866,0,1240.55
"1",1227.0625,1243.88205411131,0,1241.95
"1",1221.86964285714,1238.31634062561,0,1237.3
"1",1226.66964285714,1232.42317577452,0,1233.2
"1",1228.11785714286,1235.23753436846,0,1236.65
"1",1243.25535714286,1246.385694062,0,1247.9
"1",1241.82857142857,1257.06412006971,0,1253.65
"1",1234.84821428571,1258.64279924343,0,1257.2
"1",1231.21607142857,1256.67501842835,0,1255.6
"1",1235.70178571429,1241.59807250249,0,1240.4
"1",1248.40178571429,1238.56920489452,0,1238.1
"1",1255.44107142857,1224.83829445466,0,1226.5
"1",1259.89107142857,1230.79124039499,0,1230.95
"1",1253.33928571429,1218.29689548315,0,1216.65
"1",1240.2125,1205.08819443079,0,1209.2
"1",1237.15178571429,1204.79233183111,0,1206.55
"1",1229.98392857143,1201.82006820201,0,1202.65
"1",1230.00535714286,1203.20420236705,0,1204.2
"1",1216.29821428571,1204.91878253377,0,1204.6
"1",1208.44107142857,1197.65832684734,0,1198.8
"1",1208.84821428571,1227.07641630199,0,1229.35
"1",1203.725,1238.01507855892,0,1229.6
"1",1201.03571428572,1232.48586233608,0,1232.4
"1",1200.15,1242.60450507121,0,1241.6
"1",1204.61785714286,1251.71182590059,0,1249.05
"1",1227.51428571429,1249.01913209449,0,1247.5
"1",1227.72142857143,1247.18053030123,0,1247.5
"1",1234.27678571429,1257.63355134056,0,1257.55
"1",1243.11964285714,1259.78744151597,0,1257.25
"1",1246.67857142857,1251.19683400129,0,1251.1
"1",1245.86071428572,1248.09633785365,0,1248.8
"1",1249.79285714286,1244.74283352885,0,1244.85
"1",1258.96071428572,1247.06982831885,0,1247.25
"1",1258.15892857143,1257.4919635702,0,1257.65
"1",1249.64107142857,1246.8464992855,0,1245.8
"1",1246.98392857143,1251.37430131577,0,1252.5
"1",1246.98035714286,1264.2959430018,0,1266.45
"1",1248.08571428572,1251.58295615982,0,1250.05
"1",1252.88928571429,1256.34481394299,0,1252.9
"1",1249.63928571429,1266.9542114342,0,1274.3
"1",1257.98214285714,1272.91985639762,0,1284.15
"1",1259.5,1274.69994127131,0,1278.95
"1",1246.10535714286,1281.41329476837,0,1279.05
"1",1256.38392857143,1281.66647606871,0,1282.1
"1",1276.76071428571,1280.48506078199,0,1281.85
"1",1281.4375,1271.02672653763,0,1269.4
"1",1278.39642857143,1274.0614560283,0,1267.8
"1",1280.77142857143,1262.93343703693,0,1261.85
"1",1284.16428571429,1264.96793030616,0,1262.8
"1",1281.09642857143,1265.70356048508,0,1266.45
"1",1268.65,1255.36759826272,0,1255.45
"1",1265.52857142857,1255.3742939173,0,1250.3
"1",1260.72857142857,1229.72287904626,0,1228.45
"1",1265.71607142857,1234.41159876679,0,1228.05
"1",1268.53035714286,1230.07386778341,0,1229.8
"1",1256.70178571429,1219.36208497165,0,1220.4
"1",1246.47857142857,1225.58366729448,0,1222.95
"1",1229.49285714286,1223.26073377045,0,1223.15
"1",1230.20892857143,1233.24971640299,0,1231.25
"1",1227.94821428571,1234.90905748598,0,1233.3
"1",1219.76607142857,1234.65245775983,0,1234.2
"1",1224.02142857143,1260.38503966144,0,1257.4
"1",1224.01428571429,1261.01032598507,0,1255.9
"1",1227.75535714286,1251.50927180108,0,1252
"1",1231.09464285714,1258.7803754735,0,1258.85
"1",1239.25892857143,1260.83301892673,0,1260.2
"1",1255.89107142857,1252.22807915392,0,1252.55
"1",1254.50357142857,1256.58092572588,0,1256.95
"1",1254.99107142857,1265.60756939382,0,1265.05
"1",1259.30357142857,1262.84315428899,0,1262.7
"1",1257.42321428572,1266.60634413085,0,1266.2
"1",1252.36964285714,1264.45144876988,0,1264.85
"1",1259.31428571429,1273.9580622138,0,1274.95
"1",1264.85892857143,1278.70909513091,0,1279.95
"1",1263.52678571429,1294.1772031076,0,1293.5
"1",1263.53392857143,1291.36573146784,0,1291
"1",1262.08571428572,1272.46874808062,0,1273.1
"1",1273.5625,1268.87653197194,0,1266.55
"1",1285.26785714286,1267.39653858417,0,1266.4
"1",1296.075,1261.43438997191,0,1262
"1",1290.20714285714,1278.40509552187,0,1275.5
"1",1270.33571428571,1256.79804945436,0,1254.55
"1",1265.31428571429,1256.17193342313,0,1255.4
"1",1265.90178571429,1248.90474170904,0,1248.15
"1",1266.64464285714,1241.87599472208,0,1242.2
"1",1272.70535714286,1241.89945547388,0,1242.5
"1",1257.47678571429,1250.46155648057,0,1250.8
"1",1255.4375,1256.45686887006,0,1255.7
"1",1244.73928571429,1246.16760598416,0,1245.25
"1",1240.82857142857,1248.6736227769,0,1249.55
"1",1244.60892857143,1248.28611861614,0,1248
"1",1252.07142857143,1243.80518594715,0,1243.5
"1",1253.30714285714,1242.72567027911,0,1242.25
"1",1245.48928571429,1231.39670990288,0,1229.25
"1",1249.50535714286,1221.40425239382,0,1223.75
"1",1248.8625,1219.46230148181,0,1220.3
"1",1246.4125,1223.51744262278,0,1224.9
"1",1240.21607142857,1218.32810817164,0,1215.65
"1",1227.70178571429,1211.08800061952,0,1211.9
"1",1223.70714285714,1210.47159283345,0,1211.05
"1",1223.80892857143,1219.10434596409,0,1218.8
"1",1223.91607142857,1218.32998893776,0,1218.9
"1",1215.21607142857,1231.47209388084,0,1230.3
"1",1211.03392857143,1235.21648334705,0,1234.1
"1",1211.50357142857,1242.25490746926,0,1240.75
"1",1216.79642857143,1243.80899798339,0,1242.15
"1",1219.07321428572,1239.08583403111,0,1238.7
"1",1230.88392857143,1247.77670150965,0,1248.55
"1",1236.33035714286,1259.38277215869,0,1255.55
"1",1239.9625,1255.7150046135,0,1254.4
"1",1238.45178571429,1246.6061442991,0,1248.1
"1",1241.01607142857,1261.85435722053,0,1261.1
"1",1251.27142857143,1266.49430226994,0,1264.9
"1",1254.67142857143,1267.98299737096,0,1267.55
"1",1251.23928571429,1271.45960168755,0,1270.95
"1",1249.35535714286,1269.63882671342,0,1269.6
"1",1260.75357142857,1267.7673588235,0,1268.1
"1",1263.96607142857,1256.12234904375,0,1257.7
"1",1268.59642857143,1256.75483676761,0,1258
"1",1272.81607142857,1262.33133770927,0,1261.8
"1",1271.76607142857,1272.58224998,0,1271.05
"1",1267.0875,1289.0290317393,0,1284.4
"1",1256.07142857143,1284.63123454599,0,1286.1
"1",1255.04285714286,1280.83470310987,0,1282.3
"1",1260.01607142857,1266.93423224076,0,1270.3
"1",1273.99642857143,1276.64076242673,0,1272.75
"1",1288.28928571429,1289.29022484863,0,1285.15
"1",1287.92678571429,1296.20884671098,0,1295.8
"1",1277.725,1288.1052535788,0,1292.9
"1",1266.5125,1281.14419455117,0,1284.2
"1",1274.11964285714,1292.78112198164,0,1286.65
"1",1288.96071428571,1289.08092466093,0,1289
"1",1295.77857142857,1281.99455780009,0,1285.3
"1",1294.23392857143,1330.65513844221,0,1318.65
"1",1283.74285714286,1303.07387033054,0,1308.5
"1",1283.18214285714,1312.10316888879,0,1311.75
"1",1285.95178571429,1319.43770526507,0,1320.4
"1",1293.60178571429,1332.39750412566,0,1333.1
"1",1315.4,1334.96307134527,0,1335.55
"1",1306.27678571429,1337.66931452534,1337.78836774906,1337.85
"1",1311.73571428571,1342.94636519506,1344.02410563211,1343.5
"1",1322.28392857143,1345.84241855299,1347.04304116609,1346.25
"1",1331.11071428571,1335.08563773405,1334.63577997693,1334.2
"1",1333.93571428571,1327.82032765381,1326.72164391145,1326.5
"1",1340.3,1327.49597084583,1327.61590254167,1327.55
"1",1346.49107142857,1324.75212141828,1325.00808978179,1324.55
"1",1344.86607142857,1323.08057321987,1323.02930447438,1322.85
"1",1331.95178571429,1313.09206390059,1312.32189414048,1312.1
"1",1327.09107142857,1309.01555149749,1309.05868658087,1309.6
"1",1328.975,1310.94945978303,1310.82976706226,1311.3
"1",1324.08214285714,1294.36396089722,1292.05709891535,1292.1
"1",1321.33392857143,1291.5941220798,1293.82196784273,1294.8
"1",1313.99285714286,1293.90413862786,1293.1997274714,1293.3
"1",1312.98392857143,1301.0160703159,1300.13119797161,1300.05
"1",1305.825,1282.77788473999,1283.09399307262,1282.55
"1",1291.91785714286,1280.78295252573,1283.16401398726,1283.35
"1",1296.04107142857,1283.1881314498,1283.36258136753,1283.1
"1",1295.88392857143,1274.42369576395,1274.21637103726,1273.7
"1",1296.58392857143,1270.88608563476,1271.2002841947,1271.25
"1",1284.39285714286,1273.95164498252,1274.21215045592,1274.25
"1",1285.025,1274.73445225916,1274.78138887204,1274.5
"1",1279.98214285714,1262.68409047599,1262.94319329845,1261.8
"1",1274.61428571429,1272.83735308896,1277.84921972615,1278.75
"1",1274.91964285714,1287.78940641803,1291.74742617053,1291.4
"1",1273.45714285714,1288.42383731486,1290.55262218226,1289.25
"1",1268.11071428571,1290.3308252347,1291.02775744546,1290.25
"1",1264.32857142857,1297.97642747859,1299.79485140221,1299.6
"1",1281.56964285714,1301.77353349699,1303.77603580923,1303.3
"1",1287.55,1287.37436152369,1286.40010891351,1284.75
"1",1287.07678571429,1286.26698674003,1280.29774482477,1280.2
"1",1294.70535714286,1287.21798077374,1286.42885581085,1286.4
"1",1303.00357142857,1279.8309435464,1281.89945260764,1281.2
"1",1299.07678571429,1277.59235846927,1275.38869128077,1274.9
"1",1283.96071428571,1279.10937064167,1276.59393722935,1276.45
"1",1282.79464285714,1274.34341712939,1275.45229478419,1275
"1",1286.01607142857,1274.37983205325,1274.18972853942,1273.75
"1",1279.27857142857,1266.95295220057,1266.9422652336,1266.45
"1",1276.15714285714,1274.84900765013,1271.44258686096,1272
"1",1277.21428571429,1268.05421033676,1270.15445913481,1270.15
"1",1275.76607142857,1277.29573462102,1276.84310002109,1277.05
"1",1272.14821428571,1275.87640591164,1279.56838589737,1279.2
"1",1265.43392857143,1264.63886906904,1268.45027662522,1267.2
"1",1270.77321428571,1275.52279265141,1270.77118570958,1270.9
"1",1273.29285714286,1273.33084486437,1275.65097181701,1275.6
"1",1279.51964285714,1281.42686023226,1283.95836283463,1284
"1",1275.94285714286,1281.23888062927,1285.5312705375,1284.8
"1",1265.93571428572,1284.08041300954,1284.97082630523,1284.3
"1",1269.74464285714,1278.38496687559,1279.12360407988,1277.95
"1",1276.69821428572,1275.92269928886,1275.21458257416,1274.6
"1",1285.93571428571,1282.26262895106,1281.99034994758,1282.2
"1",1285.86071428572,1278.70710624662,1280.66332860229,1280
"1",1283.025,1283.85838060079,1284.48171432071,1284.35
"1",1276.77857142857,1285.34562095261,1286.57450120277,1286.2
"1",1275.33928571429,1283.44034298001,1284.204021867,1283.3
"1",1281.3125,1286.84019696329,1287.10452770456,1286.95
"1",1281.29107142857,1289.10172622914,1290.65274052412,1290.35
"1",1284.58928571429,1289.82756786947,1291.02527903881,1290.5
"1",1285.14642857143,1294.58895791495,1295.55059046356,1294.9
"1",1283.11785714286,1290.96845344743,1292.87565897237,1291.85
"1",1286.05,1284.81821969528,1285.19887837301,1283.85
"1",1289.79285714286,1281.42738083553,1281.20047536457,1280.2
"1",1292.36071428571,1274.2265198233,1276.43830667073,1275.5
"1",1295.8,1273.05991588284,1273.97072534746,1273.45
"1",1290.84821428572,1264.77489841522,1267.04594418295,1266.3
"1",1283.88392857143,1262.52821630613,1264.43032716975,1263.7
"1",1279.74285714286,1252.53607349218,1256.03090338257,1255
"1",1276.06071428571,1247.09906588049,1251.13220255323,1250.65
"1",1273.4125,1244.55944950429,1248.107845934,1247.15
"1",1267.03035714286,1237.83270443155,1241.81686479674,1240.9
"1",1263.45535714286,1241.04214544486,1242.67139710653,1242.65
"1",1256.51071428572,1255.07515606515,1251.3724833458,1251
"1",1251.05357142857,1257.34565297526,1255.33878532072,1254.6
"1",1245.23392857143,1263.88741140546,1261.39046070895,1260.6
"1",1239.47857142857,1261.37313667365,1261.07726449646,1260.35
"1",1243.21964285714,1266.07079486189,1265.3143826696,1264.55
"1",1250.82142857143,1265.55054262297,1265.51520620216,1264.55
"1",1255.10714285714,1264.55,1265.24782964335,1264.55
"1",1261.54642857143,1284.51288490746,1279.40411637892,1279.4
"1",1262.34285714286,1300.56666270006,1291.2921429785,1291
"1",1262.42857142857,1291.18537381733,1292.17699793608,1291
"1",1263.02678571429,1317.46517267913,1311.80744350918,1312.05
"1",1265.85,1324.44622895483,1315.87888081781,1314.9
"1",1278.42142857143,1315.07517420269,1315.87127923405,1314.5
"1",1287.86964285714,1317.75311674438,1318.01548653544,1317.15
"1",1294.70892857143,1321.25748804429,1320.51708023868,1319.95
"1",1311.27857142857,1309.46231758145,1312.02420654698,1311
"1",1314.9875,1318.98080315,1320.26990240021,1319.75
"1",1316.20535714286,1325.14180108656,1324.11274769497,1323.05
"1",1318.08035714286,1328.20507394953,1327.3532867625,1326.8
"1",1317.96428571429,1342.56970503452,1340.06186352291,1339.25
"1",1310.97678571429,1336.28551351,1334.85997137466,1333.85
"1",1318.21785714286,1334.54370480029,1336.4823555686,1335.65
"1",1322.34285714286,1332.32947080455,1332.99665870873,1332.2
"1",1329.83214285714,1334.36127171165,1335.66032821164,1334.95
"1",1338.26964285714,1333.08192430986,1333.17626488969,1332.6
"1",1334.35714285714,1332.78543106143,1333.67615536275,1333.4
"1",1337.15178571429,1356.60322348761,1354.31631728414,1353.7
"1",1333.04642857143,1360.54450780811,1356.18043591522,1354.95
"1",1331.32321428572,1353.16063906385,1354.28289787745,1353.15
"1",1328.66785714286,1343.84086791854,1344.99599838997,1343.85
"1",1337.21607142857,1344.96014393141,1344.88070643547,1344.9
"1",1355.525,1345.01610783006,1345.70604753845,1345.05
"1",1355.41071428572,1341.59851816204,1342.09992969604,1341.35
"1",1350.225,1331.49766077731,1332.1616032378,1331.15
"1",1344.80714285714,1333.88237807868,1333.59064387249,1333.6
"1",1346.67678571429,1331.35318835803,1331.97287473247,1331.4
"1",1344.77321428572,1324.52401740662,1325.35571901774,1324.65
"1",1338.50714285714,1315.13382771806,1316.10930175797,1315.45
"1",1332.72142857143,1314.32955968966,1313.72380347247,1314.1
"1",1336.36428571429,1323.66323883989,1322.94033567195,1322.3
"1",1332.02857142857,1324.33911308907,1326.1692403605,1325.35
"1",1323.19642857143,1338.22284909753,1337.17280019876,1336.25
"1",1315.3375,1357.3863548421,1354.3086111868,1352.45
"1",1313.53392857143,1349.81454722062,1353.6594492333,1352.1
"1",1318.38392857143,1344.79375850741,1347.42800305487,1346.6
"1",1324.30892857143,1337.7080186006,1340.30961253072,1339.85
"1",1338.97678571429,1326.79627533069,1330.54568731333,1330.5
"1",1353.90714285714,1329.02053025184,1327.88065751994,1328.35
"1",1353.375,1328.16545970018,1328.24503695677,1327.95
"1",1347.63214285714,1336.82995343575,1334.10131121295,1333.5
"1",1337.71428571429,1320.95886748985,1326.36490051159,1325.75
"1",1328.53392857143,1315.28276844188,1317.92467322632,1317.85
"1",1327.51071428571,1303.16244139502,1307.64061944432,1307.75
"1",1332.73571428571,1332.76898826733,1322.97122762107,1322.3
"1",1334.48392857143,1318.21721954922,1321.16014814717,1320.4
"1",1324.88214285714,1333.92599933249,1332.15633551653,1331.4
"1",1314.025,1329.87767014763,1330.63390275802,1329.4
"1",1308.14821428571,1319.43714908069,1322.014681325,1321
"1",1320.63214285714,1320.01877962128,1320.98869595516,1320.6
"1",1323.69464285714,1318.89211224342,1320.04993488031,1319.15
"1",1332.68571428571,1323.35277839855,1323.31408306743,1322.75
"1",1328.25,1323.54107241644,1324.20749847134,1323.55
"1",1320.10714285714,1318.73017764034,1319.51447942302,1318.75
"1",1318.78571428572,1309.22679107814,1310.586392077,1310.1
"1",1320.61071428572,1312.45394995586,1312.33149846036,1312.4
"1",1324.66428571429,1311.07658251259,1311.75629918338,1311
"1",1324.70892857143,1320.07660362379,1322.63559509669,1321.35
"1",1317.9125,1329.10932685959,1330.17643066129,1329.15
"1",1311.10178571429,1350.07325649299,1347.96638553895,1346.6
"1",1310.17857142857,1358.30861883051,1354.11698736429,1352.4
"1",1308.06785714286,1340.19920656323,1342.1385521591,1341.45
"1",1318.45714285714,1330.84369226171,1332.80117113382,1332.45
"1",1332.08035714286,1320.70594326308,1323.91347888929,1323.85
"1",1351.51428571429,1339.40357338113,1334.01678237518,1333.45
"1",1353.37142857143,1336.31259695212,1338.34031123823,1337.3
"1",1338.67142857143,1322.55286610846,1327.39510684536,1327.7
"1",1329.36785714286,1334.50716369048,1331.58356706409,1331.2
"1",1326.46607142857,1331.47509667439,1332.67961781511,1331.95
"1",1335.75892857143,1341.11831157683,1340.03045696744,1338.95
"1",1336.24285714286,1354.04060866649,1352.06654909467,1350.75
"1",1326.21071428572,1336.05660772229,1342.24250438856,1341.35
"1",1328.9,1345.4886945046,1343.99225512716,1343.7
"1",1333.4625,1350.20121763047,1350.14758310291,1349.35
"1",1341.2875,1339.64513258447,1342.43357623222,1342.1
"1",1348.93035714286,1353.81865899821,1352.31742369056,1351.45
"1",1341.69285714286,1347.28258722169,1349.26711956962,1348.6
"1",1343.13928571429,1337.10943075208,1337.12757844999,1336.75
"1",1345.79285714286,1328.14586685672,1323.72782107277,1324.3
"1",1346.35714285714,1332.08032119061,1329.07151818207,1328.85
"1",1353.64107142857,1321.19491499844,1321.76377352775,1321.65
"1",1347.51071428571,1322.61753375311,1320.9369895506,1320.7
"1",1334.99107142857,1321.52180368292,1321.47555134576,1321.5
"1",1325.3875,1314.14193748082,1313.41634206651,1313.2
"1",1326.93214285714,1308.13110247393,1307.08903813276,1307.1
"1",1322.24107142857,1304.50894414507,1304.31564903223,1304.2
"1",1324.0625,1314.89524073537,1315.64252200351,1315.05
"1",1320.69821428572,1308.82554462083,1309.84603325502,1309.4
"1",1310.675,1307.81966490027,1306.95837264895,1306.6
"1",1306.61607142857,1312.71136394132,1314.26632148768,1313.85
"1",1307.875,1317.25121392244,1319.67462709631,1318.8
"1",1314,1324.035355964,1325.50113117465,1324.35
"1",1306.675,1319.6074347625,1319.9464113059,1319.85
"1",1303.73214285714,1292.49495907672,1293.58930333096,1295
"1",1314.18214285714,1298.83462924196,1290.25443618552,1291.25
"1",1323.79642857143,1289.55565492123,1289.21772553739,1289.5
"1",1327.50357142857,1288.26713646457,1288.400864335,1288.3
"1",1316.20357142857,1288.46413027332,1288.87164235389,1288.35
"1",1295.25535714286,1294.01521722011,1293.62973709111,1293.05
"1",1290.66785714286,1287.16989237525,1289.18699654581,1289
"1",1290.30535714286,1307.41240385778,1306.00334816459,1304.85
"1",1288.07142857143,1301.84429400106,1304.31886890635,1303.5
"1",1286.64642857143,1294.86422642653,1295.62494369323,1295.5
"1",1290.8125,1302.38703048033,1301.32064365414,1300.7
"1",1293.66428571429,1304.6336235591,1306.28953651787,1305.35
"1",1303.85714285714,1293.04151337654,1294.96148726559,1294.6
"1",1300.75535714286,1297.69060162243,1295.48246427757,1295.45
"1",1296.93571428571,1291.75602286983,1292.39132031013,1292.05
"1",1303.80714285714,1300.86428858792,1300.03964537563,1300.1
"1",1303.48928571429,1296.10229621899,1297.72192497341,1297.25
"1",1294.19464285714,1298.55784937185,1298.39382901464,1298.25
"1",1294.24464285714,1299.54567305959,1299.77644067023,1299.6
"1",1293.65,1298.68841739126,1299.02931641684,1298.65
"1",1298.9875,1297.53981426836,1296.29458051203,1296.15
"1",1298.07857142857,1300.32056847867,1302.65611425839,1302.75
"1",1297.10892857143,1294.19277005713,1285.41086746545,1285.25
"1",1298.44821428571,1288.44357286354,1281.70536756199,1281.55
"1",1299.18214285714,1277.94049577674,1276.0237843925,1276.15
"1",1300.14821428572,1275.41844872282,1274.49463097069,1274.2
"1",1300.0625,1268.0591766476,1265.89582303361,1266.15
"1",1285.96071428572,1267.73138625241,1269.31294658494,1269.15
"1",1281.96607142857,1269.1433837748,1268.60331888004,1268.7
"1",1275.62321428571,1261.44410557896,1260.12477959399,1260.3
"1",1271.7875,1252.807444233,1254.31729792766,1254.6
"1",1267.62321428571,1249.98077403867,1251.41521190476,1251.55
"1",1270.96607142857,1249.71876070515,1250.28477473229,1250.45
"1",1268.16607142857,1247.58175765306,1248.24051961076,1247.8
"1",1260.29821428571,1250.99987681866,1252.08307131278,1251.75
"1",1255.00892857143,1256.7075416991,1256.32382474337,1255.65
"1",1251.15178571429,1256.37186787022,1256.06370393106,1255.5
"1",1248.83928571429,1255.3109963065,1255.43621391028,1255.35
"1",1248.6875,1262.28226953993,1262.18290898142,1262.05
"1",1251.62678571429,1256.08369570796,1254.32139877061,1254
"1",1254.40892857143,1249.30143577727,1251.57507334116,1251.4
"1",1255.07678571429,1243.59075063954,1245.85535992411,1245.9
"1",1257.61785714286,1239.77076962285,1241.05901883111,1241.7
"1",1261.70535714286,1240.28128950451,1241.07426141907,1241.1
"1",1254.03214285714,1231.31658703734,1232.87692262279,1232.8
